,surface_reelle_bati,code_commune,type_local,valeur_fonciere
1064142,23.0,75113,Appartement,800000.0
960125,45.0,92012,Appartement,441650.0
981123,76.0,93051,Maison,530000.0
1037314,24.0,75110,Appartement,267680.0
1044696,18.0,75118,Appartement,169000.0
951277,65.0,92024,Appartement,515000.0
954886,68.0,92063,Appartement,533470.0
1031954,72.0,75109,Appartement,820000.0
1063308,16.0,75115,Appartement,190000.0
1062568,40.0,75107,Appartement,780000.0
1046055,10.0,75118,Appartement,100000.0
1049996,50.0,75116,Appartement,670000.0
974718,73.0,93051,Appartement,395000.0
1041903,120.0,75109,Appartement,3250000.0
1063155,28.0,75112,Appartement,320000.0
982579,40.0,93057,Appartement,127000.0
1036723,69.0,75117,Appartement,440000.0
1052527,33.0,75115,Appartement,320000.0
948822,28.0,92026,Appartement,203400.0
969462,64.0,93031,Appartement,145000.0
1042179,12.0,75118,Appartement,118100.0
974504,38.0,93001,Appartement,141000.0
1055809,127.0,75116,Appartement,1400000.0
1039968,30.0,75120,Appartement,403250.0
1045328,32.0,75120,Appartement,305000.0
1049013,61.0,75112,Appartement,528000.0
959057,60.0,92023,Appartement,220000.0
949353,66.0,92062,Appartement,635000.0
959935,40.0,92022,Appartement,228500.0
1038973,30.0,75117,Appartement,335000.0
991142,33.0,94079,Appartement,150000.0
986107,78.0,94021,Appartement,235000.0
967145,38.0,93063,Appartement,240000.0
995297,113.0,94060,Maison,434000.0
1049560,94.0,75116,Appartement,1115500.0
951553,70.0,92004,Appartement,622401.0
957104,34.0,92049,Appartement,287720.0
981415,86.0,93063,Appartement,630000.0
985778,29.0,94073,Appartement,150000.0
1032919,26.0,75117,Appartement,1144000.0
974570,78.0,93078,Maison,305000.0
961324,87.0,92033,Appartement,686000.0
1061722,82.0,75111,Appartement,1188300.0
1057693,52.0,75111,Appartement,13000.0
952446,28.0,92026,Appartement,241472.6
988253,120.0,94056,Maison,392000.0
1037552,37.0,75109,Appartement,423000.0
1055790,37.0,75114,Appartement,397370.0
1046610,16.0,75119,Appartement,183000.0
974813,70.0,93073,Appartement,216500.0
949230,76.0,92004,Appartement,292500.0
977921,52.0,93070,Appartement,411700.0
1048582,38.0,75111,Appartement,424000.0
1039894,40.0,75120,Appartement,411500.0
1031186,45.0,75120,Appartement,490000.0
1029985,26.0,75109,Appartement,291000.0
963685,32.0,92019,Appartement,190000.0
952108,23.0,92063,Appartement,197200.0
957241,150.0,92048,Maison,1268151.0
946821,61.0,92050,Appartement,309000.0
1063250,11.0,75113,Appartement,119180.0
972345,90.0,93046,Maison,280000.0
966411,61.0,92040,Appartement,409500.0
1049537,84.0,75114,Appartement,942000.0
1051106,60.0,75116,Appartement,690000.0
1059431,88.0,75106,Appartement,1500000.0
972708,30.0,93055,Appartement,195000.0
987309,40.0,94022,Appartement,157944.0
1055767,23.0,75115,Appartement,228001.0
1032800,22.0,75117,Appartement,262600.0
1055198,62.0,75111,Appartement,425520.0
957853,123.0,92014,Maison,126000.0
985611,66.0,94041,Appartement,350020.0
989952,35.0,94081,Appartement,183000.0
956203,58.0,92050,Appartement,302580.0
1054240,59.0,75107,Appartement,889700.0
1049584,70.0,75114,Appartement,652000.0
972154,20.0,93005,Appartement,68000.0
961305,28.0,92020,Appartement,242000.0
1035468,80.0,75109,Appartement,744000.0
1046503,74.0,75117,Appartement,828571.44
958007,17.0,92075,Appartement,127000.0
997715,43.0,94052,Appartement,238887.0
958330,100.0,92012,Appartement,993260.0
981887,75.0,93006,Appartement,616500.0
981726,99.0,93031,Appartement,280000.0
993792,58.0,94002,Appartement,289000.0
993313,32.0,94028,Appartement,158350.0
952953,32.0,92062,Appartement,304500.0
1058508,85.0,75115,Appartement,792000.0
1062218,30.0,75115,Appartement,163560.0
1051649,21.0,75111,Appartement,167980.0
987027,75.0,94081,Appartement,247220.0
1044909,13.0,75118,Appartement,102500.0
1047887,49.0,75112,Appartement,385000.0
990573,330.0,94068,Maison,800000.0
1056246,19.0,75115,Appartement,186050.0
992706,78.0,94015,Appartement,409780.0
959121,75.0,92012,Appartement,895000.0
1058671,79.0,75105,Appartement,1232900.0
960124,17.0,92046,Appartement,59800.0
1036406,28.0,75110,Appartement,326000.0
1037309,130.0,75104,Appartement,1648872.0
962757,27.0,92049,Appartement,207000.0
993082,65.0,94028,Appartement,195000.0
950774,67.0,92036,Appartement,242000.0
1062493,75.0,75112,Appartement,700000.0
1000021,82.0,94059,Appartement,240000.0
1059277,55.0,75112,Appartement,540000.0
958238,60.0,92040,Appartement,7768659.0
970020,68.0,93032,Appartement,215350.0
972848,22.0,93063,Appartement,131000.0
1034697,28.0,75102,Appartement,195000.0
1037535,97.0,75119,Appartement,815000.0
1052433,17.0,75112,Appartement,180000.0
1036689,101.0,75103,Appartement,1211500.0
969351,71.0,93057,Appartement,205000.0
951173,34.0,92044,Appartement,300000.0
1052403,15.0,75116,Appartement,180000.0
983398,60.0,93046,Appartement,197900.0
944898,38.0,92024,Appartement,308000.0
1065114,119.0,75113,Appartement,134000.0
1060200,28.0,75111,Appartement,310000.0
1056778,69.0,75116,Appartement,744000.0
996674,64.0,94052,Appartement,133000.0
961937,9.0,92019,Appartement,44000.0
1040479,35.0,75102,Appartement,426820.0
972053,104.0,93077,Appartement,344150.0
945711,78.0,92025,Appartement,360000.0
984403,91.0,94054,Maison,420000.0
1039438,19.0,75118,Appartement,214000.0
1039105,28.0,75119,Appartement,258000.0
955429,102.0,92026,Appartement,715390.0
976562,43.0,93029,Appartement,186000.0
992428,30.0,94081,Appartement,197300.0
1050306,39.0,75112,Appartement,300000.0
990648,90.0,94034,Appartement,366000.0
997614,40.0,94080,Appartement,433000.0
1051068,49.0,75114,Appartement,493000.0
975093,32.0,93057,Appartement,135000.0
983765,60.0,93078,Appartement,150000.0
981177,82.0,93055,Appartement,470000.0
1035626,46.0,75120,Appartement,455000.0
1057494,155.0,75107,Appartement,2500000.0
956099,95.0,92035,Appartement,675500.0
1056815,26.0,75105,Appartement,330000.0
979740,64.0,93005,Maison,300000.0
979017,42.0,93027,Maison,352000.0
